xmin,ymin,xmax,ymax,Object,predicted_label
106,176,504,207,DIGi TelECoMMUNICATIoNS SDN BHD,company
246,202,364,231,201283-M),other
82,226,220,257,Lot LG 315,other
94,240,506,289,"EBUH ZaMhar Utaha-bannar Utaha,;",other
245,225,541,262,"~Viaha ShoPPInG CENTRE ,",other
170,278,278,305,Petaling,other
241,275,359,334,1n8./25ik,other
358,278,430,307,47800,other
71,375,265,412,GST Reg Number:,other
234,352,380,381,Tax INVOICE,other
334,376,492,407,001211957248,other
44,452,214,481,Pos Login ID:,other
46,426,180,455,13/10/2017,date
195,449,559,508,85009-39003 osCAR CoLoUR LaB,other
484,428,556,457,12235,other
46,476,188,503,Store Nane:,other
62,500,426,529,"8 TELECDMMUNICATION SDN"" BHD.",other
418,494,557,544,"(522647_""2",other
46,574,192,605,Paid Amount,other
222,550,380,581,BILL PaYMent,other
422,576,506,605,234.40,total
46,602,252,631,Sub Total Amount,other
48,626,204,655,Total Amount,other
422,602,504,631,234240,other
422,628,504,655,234.40,other
44,652,190,681,Credit Card,other
70,674,519,709,Credit Card No :XXXX XXXX YYXX 6974,other
420,652,504,681,234.40,other
46,726,328,757,Total Amount Collected,other
46,753,404,783,Customef Name: Lim RUEY ChYI,other
417,727,506,761,239440,other
503,757,541,792,10,other
44,778,188,807,Mobile Nc :,other
46,804,380,835,Account No : 1000004587104,other
196,778,340,807,60142149319,other
461,787,505,826,12,other
220,830,326,857,Customer,other
334,828,390,868,Copy,other
208,906,266,933,Have,other
246,880,366,907,Thank You,other
351,902,435,965,172813,other
170,930,366,961,340130019291201',other
296,908,354,933,hice,other
