xmin,ymin,xmax,ymax,Object,predicted_label
69,157,627,194,SANG KII CHERAS RESTAURANT,company
256,202,434,229,"(001310559 U,",other
206,234,526,263,JALAN TEMIENCGUNG 3/9,other
168,266,522,296,BANOAR MAHKOTA C HERAS,other
250,298,442,327,43200 CHEFAS;,other
272,332,420,359,SE_ANGOR,address
180,362,512,393,NO ID GST 001226018816,company
208,402,488,449,TAX INVOICE,other
474,482,530,513,NO,other
565,481,667,516,74285,other
28,528,78,557,059,other
158,530,238,555,10101,other
440,530,648,559,03/05/2018 20.24,date
28,566,136,593,EM;Fei,other
152,563,625,598,10s 0320240 )_ 74285_dhh2476568+014,other
28,614,142,643,Vude:,other
347,612,541,649,@TY UIPRICE,other
592,616,658,647,AMT,other
26,662,238,693,854657010/51 34,item
476,664,538,695,"2,50",item
576,666,656,695,2 50s,item
26,708,326,739,ALL So17 DFINK CAN,item
26,754,188,783,6UB TOTal,other
606,756,668,785,2.50,total
25,797,193,832,Total Gs7(1),other
606,800,668,829,0.14,company
26,842,164,873,Total IteIno,other
25,879,209,918,Total Quanity,other
603,933,665,968,RM,other
28,983,329,1027,Total  Inel GST,other
562,982,664,1031,2.50,other
28,1041,106,1102,Pay,other
111,1049,223,1090,Cash,other
560,1048,664,1097,2.50,other
19,1105,194,1164,Change,other
560,1108,664,1155,0.00,other
28,1188,460,1219,THANK 'CuFLEASE ( OME AGAIN,other
28,1242,86,1267,GST,other
168,1240,428,1269,Tasable Amt GST Amt,other
26,1302,112,1331,5-SR),other
236,1302,294,1331,2.36,other
320,1302,376,1329,0.14,other
