xmin,ymin,xmax,ymax,Object,predicted_label
133,271,358,314,SUSHI MENTAI,other
398,273,660,316,MAHKOTA CHERAS,other
486,314,693,364,(1248446-V),other
96,315,379,359,MiZu Mentai SDN,other
242,359,573,407,1-182 GROUND FLOOR,other
398,318,466,361,BHID,other
171,360,232,403,No:,other
188,449,572,493,43200 CHERAS SELANGOR,other
204,404,556,453,JLN TEMENGGUNG   13/9,other
134,491,216,538,(GST,other
224,490,287,543,Reg,other
313,494,358,537,No,other
397,489,639,538,001375580160 ),other
172,579,288,629,Tax,other
313,581,567,633,Invoice,other
27,660,287,746,Table 9,other
27,736,288,783,Order# :  120820,other
27,780,376,828,Bi 77#: Vo42- 520388,other
28,828,111,871,Date,other
187,827,535,874,04-06-2018 18:11:23,date
504,782,639,832,Pax(s) :,other
648,791,673,823,0,other
27,870,286,917,Cashier : SOFYA,other
29,959,235,1007,Descr iption,other
291,959,359,1008,Oty,other
416,960,553,1011,U.price,other
579,962,670,1003,Tota],other
683,960,747,1003,TAX,other
28,1047,251,1090,BI Green Tea,other
30,1133,304,1183,T2 Unagi   Temak i,other
272,1092,345,1139,3 X,other
439,1092,517,1135,"1,00",other
596,1094,677,1137,3.00,other
698,1092,747,1135,SR,other
27,1220,395,1271,R5 Tori Terivaki Don,other
277,1182,344,1225,1 x,other
437,1181,517,1224,"5,80",other
596,1181,677,1224,"5,80",other
698,1181,747,1224,SR,other
30,1310,290,1359,N8   Shiro Ramen,other
280,1278,340,1308,1 X,other
422,1268,517,1311,"12,80",other
579,1270,677,1314,"12,80",other
700,1270,747,1311,SR,other
28,1398,341,1441,SBO1  SushiYel Jow,other
276,1358,344,1400,'2 X,other
422,1358,517,1399,"12,80",total
577,1355,626,1399,25,other
630,1360,677,1397,60,other
700,1358,747,1399,SR,other
28,1485,287,1528,5B02 Sushi Red,other
277,1445,343,1484,5 x,other
439,1443,517,1486,1.80,other
596,1443,677,1486,9.0u,other
700,1443,747,1486,SR,other
277,1534,343,1573,2 x,other
437,1532,517,1575,"2,80",other
596,1532,677,1575,5.60,other
698,1532,747,1573,SR,other
28,1658,359,1712,Serv . Charge ( 10%),other
31,1613,427,1666,Total   (ExcIuding GST) :,other
647,1621,747,1662,61.80,other
666,1664,747,1707,6 .18,other
28,1749,130,1792,Round,other
29,1694,481,1754,Tota) (IncTusive of GST) :,other
124,1749,180,1799,ing,other
187,1748,250,1795,Adj,other
647,1706,747,1750,"67,98",other
666,1751,747,1794,0.02,other
29,1832,249,1915,TOTAL:,other
555,1835,646,1914,68,other
659,1835,748,1914,00,other
33,1953,164,1994,Llosed ;,other
188,1953,553,1996,2017100165 04-06-2018,date
598,1955,749,1996,18:55:23,other
35,1995,270,2039,Server ; SOFYA,other
31,2125,111,2166,VISA,other
647,2127,747,2168,68.00,other
30,2294,239,2345,GST   Summary,other
31,2340,77,2381,SR,other
208,2339,322,2386,(@ 0%),other
385,2296,569,2344,Amount (RM),other
469,2342,570,2385,6/.98,other
612,2299,744,2346,Tax (RM),other
664,2348,747,2388,"0,00",other
206,2605,550,2652,Please Coie Again! !,other
276,2558,465,2609,Thank   you!,other
136,2647,641,2697,"Powered By  WWW , SISPOS , COM , MY",other
