xmin,ymin,xmax,ymax,Object,predicted_label
178,2,479,86,2 [ 8 {2 012,other
87,205,838,259,SYARIKAT PERNIAGAAN GIN KEE,other
380,266,548,309,181109-A),other
241,312,680,352,"NO 290, JALAN AIR PANAS",other
380,358,545,398,"SETAPAK,",other
267,408,654,448,"53200, KUALA LUMPUR",other
315,454,386,492,TEL,other
402,454,615,492,03-40210276,other
275,515,399,553,GST ID,other
413,515,654,553,000750673920,other
232,563,695,603,SIMPLIFIED TAX INVOICE,other
42,637,146,673,CASH,other
44,692,168,729,Doc No,other
293,689,504,729,CS00012440,other
561,692,641,729,Date,other
663,692,844,729,28/12/2017,date
44,744,172,779,Cashier,other
295,742,395,779,USER,other
559,740,643,777,Time:,other
665,740,807,777,11.57.00,other
42,788,242,841,Salesperson,other
556,790,621,827,Ref,other
42,883,120,923,Item,other
340,878,407,929,Qty,other
467,876,593,924,SIPrice,other
632,881,768,924,Amount,other
798,879,865,921,Tax,other
44,927,131,965,2623,other
359,930,385,959,2,item
491,929,567,965,2.12,other
692,929,765,965,4.24,other
805,929,861,965,SR,other
44,973,332,1015,NAIL (PERIFACK),item
352,975,432,1013,RM2,item
43,1026,130,1068,3483,item
491,1027,567,1065,7.95,item
692,1027,767,1067,7.95,item
807,1029,861,1065,SR,item
49,1077,552,1117,"1 1/2"" SANCORA PAINT BRUSH",item
47,1132,131,1169,1452,item
367,1138,380,1163,1,item
485,1132,576,1169,10.07,item
674,1132,765,1169,10.07,item
807,1132,861,1169,SR,item
44,1180,410,1217,"7"" PAINT ROLLER SET",item
47,1234,129,1272,1664,item
359,1235,385,1266,2,item
482,1234,578,1272,26 50,item
674,1234,767,1272,53.00,item
807,1234,861,1272,SR,item
47,1278,606,1320,ILT BIG TREE HIGH GLOSS PAINT,item
47,1337,131,1376,1665,item
341,1337,408,1374,450,item
491,1339,567,1374,0.30,item
657,1337,767,1374,133.56,item
807,1339,861,1374,SR,item
44,1384,310,1422,CEMENT BRICK,item
47,1441,129,1477,1041,item
485,1439,578,1477,15.90,item
672,1439,767,1477,"47,70",item
805,1439,861,1477,SR,item
44,1485,715,1527,6' X 35# CORRUGATED ROOFING SHEET,item
44,1544,131,1579,2430,item
485,1544,578,1579,18.02,item
672,1544,767,1579,72.08,item
805,1544,861,1579,SR,item
44,1589,316,1631,CEMENT (SOKG),item
47,1644,131,1681,1812,item
485,1644,578,1681,16.96,item
672,1644,767,1681,33 92,item
807,1644,861,1681,SR,item
47,1692,186,1732,10' 2 X 3,item
47,1746,131,1784,1792,item
362,1750,382,1777,3,item
491,1746,567,1784,"7,42",item
672,1746,767,1784,22.26,item
807,1746,861,1784,SR,item
47,1796,186,1832,10' 1 X 2,item
47,1851,131,1886,1840,item
359,1852,385,1883,2,item
485,1851,578,1886,40 28,item
672,1851,767,1886,80 56,item
807,1851,861,1886,SR,item
44,1899,207,1936,K1o' 1 X 8,item
134,1947,216,1984,Total,other
217,1943,275,1991,Oty',other
339,1947,406,1984,470,total
657,1947,769,1984,465.34,other
135,2031,563,2080,Total Sales (Excluding GST),other
655,2036,767,2074,439.00,other
419,2088,562,2124,Discount,other
692,2088,767,2124,0 00,other
402,2141,562,2178,Total GST,other
672,2141,765,2178,26 34,other
410,2194,563,2245,Rounding,other
689,2199,767,2237,0.0o,other
68,2259,565,2301,Total Salos (Inclusive of GST),other
655,2260,767,2296,465.34,other
454,2315,560,2353,CASH,other
655,2317,767,2353,465.34,other
423,2365,565,2413,Change,other
692,2369,767,2405,0.00,other
103,2461,388,2501,GST SUMMARY,other
114,2526,275,2566,Iax Code,other
116,2568,175,2605,SR,other
349,2528,386,2566,%,other
461,2526,619,2566,Amt (RM),other
498,2568,619,2605,439.00,other
672,2524,826,2568,Iax (RM),other
724,2568,826,2605,26 34,other
357,2571,381,2600,6,other
297,2629,393,2668,Total,other
495,2626,619,2666,439.00,other
722,2626,824,2668,26.34,other
97,2724,824,2761,GOODS SOLD ARE NOT RETURNABLE THANK YOU,other
719,2680,834,2728,86.34,other
