xmin,ymin,xmax,ymax,Object,predicted_label
2677,1712,3159,1919,no6ox2,other
1582,2004,2933,2094,UNIHAKKA INTERNATIONAL SDN BHD,other
2005,2087,2505,2159,11 Jun 2018 18.32,other
1703,2250,2835,2338,"2, Jalan Tampoi 7/4,Kawasan Perindustrian",other
2091,2164,2419,2253,(867388-U),other
1687,2273,1705,2313,1,other
1810,2337,2692,2420,"Tampoi,81200 Johor Bahru;Johor",other
2060,2416,2445,2493,TAXINVOICE,other
1517,2498,1770,2570,Invoice #,other
1797,2493,2351,2564,OR18061102170340,other
1517,2614,1650,2685,Item,other
1983,2619,2094,2690,Qty,other
2844,2608,2993,2679,Total,other
1522,2706,2314,2790,SR 100100000016- Vegetable,other
1523,2800,1738,2877,RM1.03,other
2772,2794,2987,2866,RM4.12,other
1516,2914,2468,3004,SR 100100000056-Fried Noodle (S),other
1523,3014,1738,3090,RM1.88,other
2772,3014,2987,3085,RM1.88,other
2394,3156,2987,3227,Total Amount: RM6.00,other
2454,3237,2988,3327,GST @0%: RMO.0o,other
2487,3321,2987,3392,Nett Total: RMG.0O,other
1515,3439,1925,3524,Payment Mode,other
2773,3442,2986,3506,Amount,other
1517,3534,1699,3606,CASH,other
2772,3529,2982,3600,RMô.00,other
1517,3622,1743,3699,Change,other
2772,3611,2982,3688,RMO.0O,other
1517,3824,1865,3897,GST Summary,other
2224,3819,2510,3891,Amount(RM),other
2783,3819,2987,3891,TaxRM),other
1519,3920,1604,3976,SR,other
1634,3920,1873,3976,GST @0%,other
2407,3920,2508,3971,6.00,total
2917,3915,2985,3971,0o,other
1890,4039,2598,4110,GST REG #000656195584,other
1768,4114,2720,4199,BAR WANG RICE@PERMAS JAYA,other
1894,4197,2599,4281,Thank You & Come Again!,other
1808,4282,2680,4360,Like and Follow Us on Facebookl,other
1856,4359,2633,4451,Facebook.com/BarWangRice,other
